origin,destination,count
40.9169-98.3875,37.8064-122.289,126.96459090270997
39.0766-94.7902,42.5272-92.4561,126.61167231140138
32.8036-96.5696,29.8587-95.5724,126.49125139160157
32.8036-96.5696,33.4354-112.2,126.46094136171341
39.9266-83.8128,42.8029-85.7254,126.17506817779541
39.0766-94.7902,38.8189-91.17,126.10583648681641
41.8857-88.3196,44.4993-88.0632,126.09555015869141
34.0018-117.528,33.8808-117.541,125.66837237024308
39.0766-94.7902,44.7761-93.5256,124.96286102294923
32.7984-97.354,35.0168-89.847,124.76459560546876
32.7984-97.354,35.5764-97.4692,124.51073496093751
40.5693-75.5889,40.357-76.1374,124.16333733062744
39.0766-94.7902,38.7573-90.4233,123.90106539816857
32.7984-97.354,39.4821-86.0504,123.33434487304687
33.455-84.1721,30.5179-90.4725,123.30810559082032
41.8857-88.3196,33.744-84.5603,122.26252430114747
39.0766-94.7902,34.9685-89.9979,122.19443689594269
41.8857-88.3196,42.0745-93.8744,122.10119391174317
32.7984-97.354,30.336-81.7251,122.07925919189454
41.8857-88.3196,39.9395-83.2891,121.97540242614747
40.5693-75.5889,39.9769-76.6778,121.92795948181153
35.8406-80.8799,29.2129-82.1538,121.760254296875
41.8857-88.3196,40.6656-74.2997,121.12795458984375
39.0766-94.7902,41.0289-93.2986,121.06718589782716
39.0766-94.7902,39.5082-76.1807,120.58885897216797
39.9266-83.8128,40.6656-74.2997,120.4613005493164
41.8857-88.3196,41.1017-104.806,120.31184013671876
41.8857-88.3196,32.2202-82.4149,119.92990498046875
39.0766-94.7902,45.5395-122.505,119.66795156245232
41.6887-112.223,45.1976-93.571,119.51703515625
41.8857-88.3196,43.7361-87.7289,119.35202630558014
39.0766-94.7902,39.7846-104.962,118.98649408950806
32.7984-97.354,33.5498-101.826,118.56192801513673
40.5693-75.5889,40.8132-73.8876,117.50893828220367
40.5693-75.5889,39.9628-76.7676,117.38327912597657
39.9266-83.8128,40.2344-76.1265,117.29067899475098
37.7553-100.026,27.6488-99.5337,116.22921953125001
41.8857-88.3196,33.4264-112.283,116.00652607421875
41.8857-88.3196,40.0326-76.3333,115.70052595214844
32.8036-96.5696,38.6415-94.3413,115.34807845382691
40.5693-75.5889,40.2988-79.5413,115.14555963516236
32.7984-97.354,41.9565-87.9512,114.77440498046876
39.0766-94.7902,40.2783-75.2948,114.21610498046876
40.9169-98.3875,39.9198-75.158,113.86664067382813
41.8857-88.3196,34.047-117.481,113.51018294830322
41.8857-88.3196,44.8162-85.5751,113.33186188964844
41.6887-112.223,37.8064-122.289,113.04017875976562
39.0766-94.7902,42.6018-87.8762,112.96150727701188
34.0018-117.528,47.3042-122.216,112.91231352844238
40.5693-75.5889,42.8537-73.7844,112.80695004062058
40.5693-75.5889,40.231-79.6161,112.73576076812745
41.8857-88.3196,29.4943-98.4043,112.47412277526855
39.0766-94.7902,41.1017-104.806,112.41307416362763
33.455-84.1721,26.751-80.073,112.39458798217774
39.0766-94.7902,38.0343-97.9238,112.0658947265625
39.0766-94.7902,32.927-97.2506,111.91187001953125
39.0766-94.7902,40.843-111.906,111.75786353664398
32.7984-97.354,29.9449-95.3415,111.7423260131836
34.0018-117.528,41.2703-112.019,111.33226546020508
41.8857-88.3196,30.351-81.6466,111.1670150390625
34.0018-117.528,40.1682-111.596,111.04300123901368
32.8036-96.5696,30.5208-90.3064,110.9486266571045
34.0018-117.528,34.0619-117.32,110.38192971801759
39.9266-83.8128,33.9817-83.883,110.32956218872071
34.0018-117.528,34.0184-117.854,109.83870342292786
41.8857-88.3196,44.2938-88.5356,109.7389126411438
40.5693-75.5889,42.9299-78.7581,109.55050924568177
39.0766-94.7902,44.2948-93.2873,108.90440869140626
39.0766-94.7902,33.784-118.259,108.69780527343751
40.974-91.572,40.7913-76.5639,108.67762089843751
34.0018-117.528,47.3037-122.266,108.29694089355469
39.0766-94.7902,42.8814-78.7447,108.03450097827911
26.172-98.2504,38.3748-86.3531,107.56985
32.7984-97.354,45.0467-93.4289,107.53978544921875
34.0433-86.089,35.6796-80.4665,107.49908729095459
34.0018-117.528,45.1444-122.845,107.04197940979004
35.8406-80.8799,37.8064-122.289,106.81046875
33.455-84.1721,28.017-82.1286,106.80700024414062
34.0433-86.089,30.5208-90.3064,106.74862470550538
32.8036-96.5696,39.5238-85.7721,106.57391252441407
40.5693-75.5889,39.6267-75.8429,106.55802179135085
34.0018-117.528,34.0361-117.609,106.55335592193605
41.8857-88.3196,41.3706-88.4075,106.4796805419922
34.0433-86.089,34.4891-88.9997,106.34225908203126
39.0766-94.7902,33.4354-112.2,106.24036915283203
32.7984-97.354,36.2942-95.3029,105.3708
34.0018-117.528,32.9736-117.037,105.31046605887414
32.7984-97.354,32.3252-95.2947,105.2763776664734
39.0766-94.7902,41.0895-88.4278,104.8994150390625
41.6376-93.6164,28.0429-81.9849,104.60894759521484
33.455-84.1721,26.2288-80.1582,104.4570540222168
32.8036-96.5696,35.4168-97.6279,104.40644124298096
41.8857-88.3196,39.1373-76.8233,104.3216494140625
41.8857-88.3196,39.8167-85.1778,103.73339501953126
32.8036-96.5696,37.9555-121.191,103.55937187500001
41.8857-88.3196,42.8369-78.7556,103.50827400512696
39.9266-83.8128,40.6851-76.2139,103.30348387374879
39.9266-83.8128,37.1438-84.0784,103.29702621002198
34.0018-117.528,37.6229-121.052,103.16519914855958
39.0766-94.7902,44.4993-88.0632,103.05362374038697
32.2304-90.1621,33.6154-84.4903,103.05087880859375
39.0766-94.7902,42.0262-97.4174,103.02560091781616
41.8857-88.3196,42.5095-83.7772,102.60866253023148
40.5693-75.5889,42.5095-83.7772,102.5763094909668
41.6887-112.223,31.054-97.3203,102.5562603515625
41.8857-88.3196,28.4635-81.3881,102.20571691875459
39.0766-94.7902,32.3252-95.2947,102.1777251953125
40.5693-75.5889,43.6315-70.2727,102.1667164794922
