iata,name,state,country,latitude,longitude,lineage,zipcoderegion
34.1421-79.7431,Destination-Florence-SC,SC,USA,34.1421,-79.7431,0,29
34.1426-118.127,Destination-Pasadena-CA,CA,USA,34.1426,-118.127,0,91
34.1435-118.856,Destination-Westlake Village-CA,CA,USA,34.1435,-118.856,0,91
34.1439-118.394,Destination-Studio City-CA,CA,USA,34.1439,-118.394,0,91
34.1466-118.139,Destination-Pasadena-CA,CA,USA,34.1466,-118.139,0,91
34.1486-117.263,Destination-San Bernardino-CA,CA,USA,34.1486,-117.263,0,92
34.1497-88.0038,Destination-Hamilton-AL,AL,USA,34.1497,-88.0038,0,35
34.1511-118.09,Destination-Pasadena-CA,CA,USA,34.1511,-118.09,0,91
34.1512-117.399,Destination-Rialto-CA,CA,USA,34.1512,-117.399,0,92
34.1528-118.266,Destination-Glendale-CA,CA,USA,34.1528,-118.266,0,91
34.1536-118.432,Destination-Sherman Oaks-CA,CA,USA,34.1536,-118.432,0,91
34.1541-119.188,Destination-Port Hueneme-CA,CA,USA,34.1541,-119.188,0,93
34.1556-118.489,Destination-Encino-CA,CA,USA,34.1556,-118.489,0,91
34.1567-118.229,Destination-Glendale-CA,CA,USA,34.1567,-118.229,0,91
34.1582-118.601,Destination-Woodland Hills-CA,CA,USA,34.1582,-118.601,0,91
34.1643-118.545,Destination-Tarzana-CA,CA,USA,34.1643,-118.545,0,91
34.1669-118.344,Destination-Burbank-CA,CA,USA,34.1669,-118.344,0,91
34.1673-83.6854,Destination-Pendergrass-GA,GA,USA,34.1673,-83.6854,0,30
34.1701-118.292,Destination-Glendale-CA,CA,USA,34.1701,-118.292,0,91
34.1762-118.62,Destination-Woodland Hills-CA,CA,USA,34.1762,-118.62,0,91
34.1765-118.433,Destination-Van Nuys-CA,CA,USA,34.1765,-118.433,0,91
34.1776-118.31,Destination-Burbank-CA,CA,USA,34.1776,-118.31,0,91
34.1829-118.769,Destination-Oak Park-CA,CA,USA,34.1829,-118.769,0,91
34.1847-97.1265,Destination-Ardmore-OK,OK,USA,34.1847,-97.1265,0,73
34.1876-88.7785,Destination-Tupelo-MS,MS,USA,34.1876,-88.7785,0,38
34.1883-83.9181,Destination-Flowery Branch-GA,GA,USA,34.1883,-83.9181,0,30
34.1898-82.4125,Destination-Abbeville-SC,SC,USA,34.1898,-82.4125,0,29
34.194-84.4388,Destination-Canton-GA,GA,USA,34.194,-84.4388,0,30
34.1957-79.8098,Destination-Florence-SC,SC,USA,34.1957,-79.8098,0,29
34.1961-90.5944,Destination-Clarksdale-MS,MS,USA,34.1961,-90.5944,0,38
34.1982-117.358,Destination-San Bernardino-CA,CA,USA,34.1982,-117.358,0,92
34.2013-118.33,Destination-Burbank-CA,CA,USA,34.2013,-118.33,0,91
34.2013-79.7172,Destination-Florence-SC,SC,USA,34.2013,-79.7172,0,29
34.2015-118.494,Destination-Van Nuys-CA,CA,USA,34.2015,-118.494,0,91
34.2015-84.0976,Destination-Cumming-GA,GA,USA,34.2015,-84.0976,0,30
34.2056-117.105,Destination-Running Springs-CA,CA,USA,34.2056,-117.105,0,92
34.2081-118.401,Destination-North Hollywood-CA,CA,USA,34.2081,-118.401,0,91
34.2088-118.873,Destination-Thousand Oaks-CA,CA,USA,34.2088,-118.873,0,91
34.2094-118.577,Destination-Winnetka-CA,CA,USA,34.2094,-118.577,0,91
34.2171-119.177,Destination-Oxnard-CA,CA,USA,34.2171,-119.177,0,93
34.2187-118.625,Destination-Canoga Park-CA,CA,USA,34.2187,-118.625,0,91
34.2215-77.8845,Destination-Wilmington-NC,NC,USA,34.2215,-77.8845,0,28
34.2238-118.443,Destination-Panorama City-CA,CA,USA,34.2238,-118.443,0,91
34.2254-87.6118,Destination-Haleyville-AL,AL,USA,34.2254,-87.6118,0,35
34.2259-82.1561,Destination-Greenwood-SC,SC,USA,34.2259,-82.1561,0,29
34.2285-84.504,Destination-Canton-GA,GA,USA,34.2285,-84.504,0,30
34.2318-119.053,Destination-Camarillo-CA,CA,USA,34.2318,-119.053,0,93
34.232-118.248,Destination-La Crescenta-CA,CA,USA,34.232,-118.248,0,91
34.2354-84.1744,Destination-Cumming-GA,GA,USA,34.2354,-84.1744,0,30
34.2361-88.7567,Destination-Tupelo-MS,MS,USA,34.2361,-88.7567,0,38
34.2363-89.0042,Destination-Pontotoc-MS,MS,USA,34.2363,-89.0042,0,38
34.2366-83.8912,Destination-Oakwood-GA,GA,USA,34.2366,-83.8912,0,30
34.2395-118.482,Destination-North Hills-CA,CA,USA,34.2395,-118.482,0,91
34.2404-118.55,Destination-Northridge-CA,CA,USA,34.2404,-118.55,0,91
34.2436-111.281,Destination-Payson-AZ,AZ,USA,34.2436,-111.281,0,85
34.2537-83.7735,Destination-Gainesville-GA,GA,USA,34.2537,-83.7735,0,30
34.2547-118.424,Destination-Pacoima-CA,CA,USA,34.2547,-118.424,0,91
34.2591-118.594,Destination-Chatsworth-CA,CA,USA,34.2591,-118.594,0,91
34.2612-118.319,Destination-Sunland-CA,CA,USA,34.2612,-118.319,0,91
34.2619-86.2283,Destination-Albertville-AL,AL,USA,34.2619,-86.2283,0,35
34.2628-119.849,Destination-Santa Barbara-CA,CA,USA,34.2628,-119.849,0,93
34.2646-118.46,Destination-Mission Hills-CA,CA,USA,34.2646,-118.46,0,91
34.265-118.772,Destination-Simi Valley-CA,CA,USA,34.265,-118.772,0,93
34.266-88.3841,Destination-Fulton-MS,MS,USA,34.266,-88.3841,0,38
34.2724-88.6822,Destination-Tupelo-MS,MS,USA,34.2724,-88.6822,0,38
34.2744-83.87,Destination-Gainesville-GA,GA,USA,34.2744,-83.87,0,30
34.2776-118.5,Destination-Granada Hills-CA,CA,USA,34.2776,-118.5,0,91
34.2829-81.6164,Destination-Newberry-SC,SC,USA,34.2829,-81.6164,0,29
34.2849-118.438,Destination-San Fernando-CA,CA,USA,34.2849,-118.438,0,91
34.2929-118.871,Destination-Moorpark-CA,CA,USA,34.2929,-118.871,0,93
34.3066-83.8235,Destination-Gainesville-GA,GA,USA,34.3066,-83.8235,0,30
34.3097-89.963,Destination-Batesville-MS,MS,USA,34.3097,-89.963,0,38
34.3112-119.302,Destination-Ventura-CA,CA,USA,34.3112,-119.302,0,93
34.313-86.1928,Destination-Albertville-AL,AL,USA,34.313,-86.1928,0,35
34.3321-77.9055,Destination-Castle Hayne-NC,NC,USA,34.3321,-77.9055,0,28
34.345-89.5073,Destination-Oxford-MS,MS,USA,34.345,-89.5073,0,38
34.3461-83.901,Destination-Gainesville-GA,GA,USA,34.3461,-83.901,0,30
34.3488-83.4774,Destination-Homer-GA,GA,USA,34.3488,-83.4774,0,30
34.3602-116.21,Destination-Twentynine Palms-CA,CA,USA,34.3602,-116.21,0,92
34.3641-92.8146,Destination-Malvern-AR,AR,USA,34.3641,-92.8146,0,72
34.3778-118.515,Destination-Newhall-CA,CA,USA,34.3778,-118.515,0,91
34.3917-83.6598,Destination-Lula-GA,GA,USA,34.3917,-83.6598,0,30
34.3963-91.662,Destination-Humphrey-AR,AR,USA,34.3963,-91.662,0,72
34.4-117.34,Destination-Hesperia-CA,CA,USA,34.4,-117.34,0,92
34.4022-119.523,Destination-Carpinteria-CA,CA,USA,34.4022,-119.523,0,93
34.4065-118.562,Destination-Valencia-CA,CA,USA,34.4065,-118.562,0,91
34.4165-84.1085,Destination-Dawsonville-GA,GA,USA,34.4165,-84.1085,0,30
34.4248-118.445,Destination-Canyon Country-CA,CA,USA,34.4248,-118.445,0,91
34.4282-119.684,Destination-Santa Barbara-CA,CA,USA,34.4282,-119.684,0,93
34.4328-103.226,Destination-Clovis-NM,NM,USA,34.4328,-103.226,0,88
34.4435-119.803,Destination-Santa Barbara-CA,CA,USA,34.4435,-119.803,0,93
34.4437-119.942,Destination-Goleta-CA,CA,USA,34.4437,-119.942,0,93
34.4699-114.279,Destination-Lake Havasu City-AZ,AZ,USA,34.4699,-114.279,0,86
34.4772-77.5598,Destination-Holly Ridge-NC,NC,USA,34.4772,-77.5598,0,28
34.4788-118.653,Destination-Castaic-CA,CA,USA,34.4788,-118.653,0,91
34.4812-118.428,Destination-Santa Clarita-CA,CA,USA,34.4812,-118.428,0,91
34.4891-88.9997,Destination-New Albany-MS,MS,USA,34.4891,-88.9997,0,38
34.4895-117.353,Destination-Victorville-CA,CA,USA,34.4895,-117.353,0,92
34.5172-82.4905,Destination-Belton-SC,SC,USA,34.5172,-82.4905,0,29
34.5195-87.7808,Destination-Russellville-AL,AL,USA,34.5195,-87.7808,0,35
34.5237-82.6251,Destination-Anderson-SC,SC,USA,34.5237,-82.6251,0,29
34.5386-117.177,Destination-Apple Valley-CA,CA,USA,34.5386,-117.177,0,92
