iata,name,state,country,latitude,longitude,lineage
Z29201,Origin-Columbia-SC,SC,USA,33.9985,-81.0351,0
Z29202,Origin-Columbia-SC,SC,USA,34.023,-81.0288,0
Z29209,Origin-Columbia-SC,SC,USA,33.9681,-80.9384,0
Z29304,Origin-Spartanburg-SC,SC,USA,34.9167,-81.8638,0
Z29340,Origin-Gaffney-SC,SC,USA,35.0366,-81.6249,0
Z29401,Origin-Charleston-SC,SC,USA,32.7792,-79.9355,0
Z29405,Origin-North Charleston-SC,SC,USA,32.8567,-79.9822,0
Z29406,Origin-Charleston-SC,SC,USA,32.9188,-80.0227,0
Z29410,Origin-Charleston-SC,SC,USA,33.1926,-80.0306,0
Z29456,Origin-Ladson-SC,SC,USA,32.9936,-80.1216,0
Z29461,Origin-Moncks Corner-SC,SC,USA,33.1642,-80.0103,0
Z29501,Origin-Florence-SC,SC,USA,34.1957,-79.8097,0
Z29506,Origin-Florence-SC,SC,USA,34.2014,-79.7172,0
Z29536,Origin-Dillon-SC,SC,USA,34.4139,-79.365,0
Z29541,Origin-Effingham-SC,SC,USA,34.0701,-79.7579,0
Z29568,Origin-Longs-SC,SC,USA,33.9158,-78.7479,0
Z29605,Origin-Greenville-SC,SC,USA,34.7981,-82.3928,0
Z29606,Origin-Greenville-SC,SC,USA,34.8498,-82.4537,0
Z29607,Origin-Greenville-SC,SC,USA,34.8256,-82.341,0
Z29609,Origin-Greenville-SC,SC,USA,34.8893,-82.3936,0
Z29640,Origin-Easley-SC,SC,USA,34.8497,-82.5936,0
Z29644,Origin-Fountain Inn-SC,SC,USA,34.6813,-82.1973,0
Z29646,Origin-Greenwood-SC,SC,USA,34.1699,-82.1547,0
Z29648,Origin-Greenwood-SC,SC,USA,34.2125,-82.168,0
Z29650,Origin-Greer-SC,SC,USA,34.9115,-82.2517,0
Z29662,Origin-Mauldin-SC,SC,USA,34.7747,-82.3043,0
Z29673,Origin-Piedmont-SC,SC,USA,34.7232,-82.4564,0
Z29676,Origin-Salem-SC,SC,USA,34.8881,-82.9587,0
Z29692,Origin-Ware Shoals-SC,SC,USA,34.4046,-82.2385,0
Z29715,Destination-Fort Mill-SC,SC,USA,35.0085,-80.9164,1
Z29824,Origin-Edgefield-SC,SC,USA,33.8191,-81.9503,0
Z29827,Origin-Fairfax-SC,SC,USA,32.9631,-81.2405,0
Z29901,Origin-Beaufort-SC,SC,USA,32.4244,-80.5653,0
Z30004,Origin-Alpharetta-GA,GA,USA,34.1192,-84.3028,0
Z30008,Origin-Marietta-GA,GA,USA,33.9074,-84.5787,0
Z30013,Origin-Conyers-GA,GA,USA,33.6337,-83.9838,0
Z30014,Origin-Covington-GA,GA,USA,33.5815,-83.851,0
Z30024,Origin-Suwanee-GA,GA,USA,34.0527,-84.0748,0
Z30025,Origin-Social Circle-GA,GA,USA,33.6508,-83.7077,0
Z30035,Origin-Decatur-GA,GA,USA,33.7258,-84.2111,0
Z30039,Origin-Snellville-GA,GA,USA,33.8222,-84.037,0
Z30040,Origin-Cumming-GA,GA,USA,34.2355,-84.1744,0
Z30043,Origin-Lawrenceville-GA,GA,USA,34.0012,-84.0149,0
Z30058,Origin-Lithonia-GA,GA,USA,33.7503,-84.0963,0
Z30062,Origin-Marietta-GA,GA,USA,33.9961,-84.4746,0
Z30065,Origin-Marietta-GA,GA,USA,33.9125,-84.5572,0
Z30066,Origin-Marietta-GA,GA,USA,34.0276,-84.5147,0
Z30071,Destination-Norcross-GA,GA,USA,33.9409,-84.2062,1
